,DATE,kg_avg_price,fe_doy_sin,fe_doy_cos,fe_doy2_sin,fe_doy2_cos,fe_week_sin,fe_week_cos,fe_summer_ind,fe_stage_spring_facility,fe_stage_spring_openfield,fe_stage_semi_highland_1,fe_stage_highland,fe_stage_semi_highland_2,fe_stage_autumn
2680,2019-11-26,706.1652145612472,-0.5699010576127624,0.821713322596059,-0.936590583203982,0.3504255690637097,0.7818314824680298,0.6234898018587336,0.0728388237369676,0,0,0,0,0,1
2681,2019-11-27,656.5420847767351,-0.5556819724760489,0.8313949395234058,-0.9239823598019432,0.3824350909302552,0.9749279121818236,-0.2225209339563143,0.0692094902133194,0,0,0,0,0,1
2682,2019-11-28,737.3449209137211,-0.5412984521036173,0.8408305333122887,-0.9102805323268018,0.4139919715004559,0.4338837391175582,-0.900968867902419,0.0657285286165304,0,0,0,0,0,1
2683,2019-11-29,862.166199144534,-0.5267547528105542,0.8500173118187018,-0.895501317943504,0.4450588607829839,-0.433883739117558,-0.9009688679024191,0.0623918271307013,0,0,0,0,0,1
2684,2019-11-30,760.6292038559042,-0.5120551783114646,0.8589525565270845,-0.8796622089871292,0.4755989887288283,-0.9749279121818236,-0.2225209339563146,0.0591952734739325,0,0,0,0,0,1
2685,2019-12-02,858.6723861274266,-0.4822058478963526,0.8760579434344281,-0.8448805268402667,0.5349550405091192,0.0,1.0,0.0532062053822325,0,0,0,0,0,1
2686,2019-12-03,761.6050990883847,-0.4670649248774303,0.8842230238742036,-0.8259791204413983,0.5637007118984807,0.7818314824680298,0.6234898018587336,0.0504055333627536,0,0,0,0,0,1
2687,2019-12-04,736.5204545554172,-0.451785789832884,0.8921264484954345,-0.8061001043286311,0.5917792002101544,0.9749279121818236,-0.2225209339563143,0.0477287077631641,0,0,0,0,0,1
2688,2019-12-05,824.9924634384857,-0.4363729641045924,0.8997658785476209,-0.7852670068439961,0.6191572723971441,0.4338837391175582,-0.900968867902419,0.0451717245647246,0,0,0,0,0,1
2689,2019-12-06,857.1169415632629,-0.4208310085956556,0.9071390534005044,-0.7635044855580851,0.6458025244087264,-0.433883739117558,-0.9009688679024191,0.0427306205788496,0,0,0,0,0,1
2690,2019-12-07,874.9531474330638,-0.4051645224207563,0.9142437912130223,-0.7408382980859317,0.6716834195431209,-0.9749279121818236,-0.2225209339563146,0.0404014788741632,0,0,0,0,0,1
2691,2019-12-09,773.6833266100816,-0.3734765374130707,0.9276396261490468,-0.6929032710826029,0.7210305520038863,0.0,1.0,0.0360636756174023,0,0,0,0,0,1
2692,2019-12-10,802.9736694525795,-0.3574644155648614,0.9339267592294762,-0.6676911663366994,0.7444383832097442,0.7818314824680298,0.6234898018587336,0.0340474547345993,0,0,0,0,0,1
2693,2019-12-11,772.9449877380483,-0.3413465142450361,0.9399375283564132,-0.641688797825113,0.7669651144255266,0.9749279121818236,-0.2225209339563143,0.0321280855748041,0,0,0,0,0,1
2694,2019-12-12,746.354577308805,-0.3251276029999093,0.9456701548465688,-0.6149269413476359,0.7885840835350667,0.4338837391175582,-0.900968867902419,0.0303019500674343,0,0,0,0,0,1
2695,2019-12-13,801.2678260191666,-0.3088124812662537,0.9511229423235356,-0.587437271616382,0.8092697028283593,-0.433883739117558,-0.9009688679024191,0.0285655007845503,0,0,0,0,0,1
2696,2019-12-14,837.2850491349276,-0.2924059769510773,0.956294277219772,-0.5592523247663436,0.828997489286572,-0.9749279121818236,-0.2225209339563146,0.0269152637299154,0,0,0,0,0,1
2697,2019-12-16,776.5727581780897,-0.2593382659754056,0.9657865518844574,-0.5009308193361626,0.8654873276017396,0.0,1.0,0.0238599118793802,0,0,0,0,0,1
2698,2019-12-17,757.5632870195412,-0.2426868445825954,0.9701046827361176,-0.4708632887360563,0.8822061909330864,0.7818314824680298,0.6234898018587336,0.0224482367321429,0,0,0,0,0,1
2699,2019-12-18,762.5258468784064,-0.225963608248019,0.974135744004672,-0.4402384552773285,0.8978808954950716,0.9749279121818236,-0.2225209339563143,0.021109656453671,0,0,0,0,0,1
2700,2019-12-19,736.5620247498817,-0.2091735056463563,0.9778785428342386,-0.4090925658019766,0.9124928890712274,0.4338837391175582,-0.900968867902419,0.0198410947443702,0,0,0,0,0,1
2701,2019-12-20,711.9952850014454,-0.1923215052390948,0.9813319716704276,-0.3774624838618108,0.9260248772451376,-0.433883739117558,-0.9009688679024191,0.0186395588695301,0,0,0,0,0,1
2702,2019-12-21,645.0207661764035,-0.1754125938042784,0.9844950085880858,-0.345385646087603,0.9384608438697104,-0.9749279121818236,-0.2225209339563146,0.0175021403684067,0,0,0,0,0,1
2703,2019-12-23,733.6152286619777,-0.141444067687942,0.989946248902378,-0.2800440484743445,0.9599871514317776,0.0,1.0,0.0154084455711887,0,0,0,0,0,1
2704,2019-12-24,711.492919945547,-0.1243945048397999,0.9922328391893008,-0.2468566254334839,0.969052014331322,0.7818314824680298,0.6234898018587336,0.0144467767640457,0,0,0,0,0,1
2705,2019-12-25,650.6972262948445,-0.1073081316563624,0.994225811815616,-0.2133770286209279,0.9769699297608416,0.9749279121818236,-0.2225209339563143,0.0135384401366523,0,0,0,0,0,1
2706,2019-12-26,628.4812132114062,-0.0901900042703451,0.99592457702866,-0.179644883710313,0.9837315262594304,0.4338837391175582,-0.900968867902419,0.0126809511496068,0,0,0,0,0,1
2707,2019-12-27,742.9358205975311,-0.0730451882110474,0.9973286321364752,-0.1457001152853506,0.9893288009584252,-0.433883739117558,-0.9009688679024191,0.0118719091278277,0,0,0,0,0,1
